Source Code (sc),Language (slg),Source Type (fmt),Source Name (sn),Source Name - Native Language (asn),Directory Name (dn),Status Name (std),Discontinued Date (dsd),Type of  Coverage - Article Level (lva),Type of  Coverage - Source Level (lvs),Online Date (od),First Issue Online (fio),Description - English Language (de),Description - Native Language (dea),Frequency (frp),Online Availability Target (lag),Update Schedule (upn),External Notes (ntx),Pseudo-IP (pip),Source Web Site Address (url),Publisher Code (pbc),Publisher (pub),Circulation (cir),Circulation Source Code (cis),Circulation Source Name (csn),Primary Source Type Code (pst),Primary Source Type (psd),Source Family Group Code (sfg),Region of Origin Group Code (roo),Most Recent Issue Online (mri)
PEPDA,English,article,Peoples Daily,Peoples Daily,Peoples Daily (Nigeria),Active,,Full Text,Full Coverage,20161018,20161018,"National daily newspaper covering news and current affairs including business, politics, economics, lifestyle and sports. Country of origin: Nigeria","National daily newspaper covering news and current affairs including business, politics, economics, lifestyle and sports. Country of origin: Nigeria",Daily,As available,As available,,ALBWBA,http://www.peoplesdailyng.com,PBPEMI,Peoples Media Ltd,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
PLSNW,Arabic,article,PlusNews,PlusNews,PlusNews (Arabic Language),Discontinued,20150428.0,Full Text,Full Coverage,20110430,20100701,PlusNews is the global online HIV and AIDS news service of the United Nations Integrated Regional Information Networks (IRIN). It is the comprehensive source of original reporting on the pandemic and analysis on HIV and AIDS in four languages. Country of origin: Kenya,PlusNews is the global online HIV and AIDS news service of the United Nations Integrated Regional Information Networks (IRIN). It is the comprehensive source of original reporting on the pandemic and analysis on HIV and AIDS in four languages. Country of origin: Kenya,Irregular,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.plusnews.org,PLNEW,PlusNews,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20150326
PMNNIG,English,article,PM News,PM News,PM News (Nigeria),Active,,Full Text,Full Coverage,20150415,20131021,"A newspaper published in Lagos which covering regional news as well as business, politics, sports, entertainment and lifestyle. Country of origin: Nigeria","A newspaper published in Lagos which covering regional news as well as business, politics, sports, entertainment and lifestyle. Country of origin: Nigeria",Daily,1 day after publication date,Throughout the day,,ASINET2,http://www.pmnewsnigeria.com,INCOMNE,Independent Communications Network Limited,60000.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
TPNEW,English,article,The Point Newspaper,The Point Newspaper,The Point Newspaper (Gambia),Active,,Full Text,Full Coverage,20161018,20161017,"National newspaper focusing on national and international news, politics, culture and sports. Country of origin: Gambia","National newspaper focusing on national and international news, politics, culture and sports. Country of origin: Gambia",Daily,As available,As available,,ALBWBA,http://thepoint.gm,PBPOPR,Point Press,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Gambia (GAMB); West Africa (WAFR),20210122
PTSCHD,French,article,Points Chauds,Points Chauds,"Points Chauds (Mauritania, French Language)",Active,,Full Text,Full Coverage,20180722,20180102,"The print version of a daily newspaper from Mauritania covering cultural, socioeconomic, environmental and sports topics. Country of origin:  Mauritania","Version papier du portail d'information mauritanien Pointschauds.info couvrant l'actualité culturelle, socio-économique, environnementale et sportive de Mauritanie. Pays d'origine : Mauritanie",Monday-Friday,As available,As available,,IAC,http://pointschauds.info/fr/,IAC,Gale Group Inc.,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Mauritania (MAURTN); West Africa (WAFR),20210104
PCNSBE,English,article,Policy Center for the New South - Policy Briefs,Policy Center for the New South - Policy Briefs,Policy Center for the New South - Policy Briefs,Active,,Full Text,Full Coverage,20191211,20181201,Briefs published by the Moroccan Think Tank Policy Center for the New South on African countries’ economy and development. Country of origin: Morocco,Briefs published by the Moroccan Think Tank Policy Center for the New South on African countries’ economy and development. Country of origin: Morocco,Irregular,As available,As available,,AFIIL1,https://www.policycenter.ma/publications/policy-briefs/2019,PCFTNS,Policy Center for the New South,,,,COREPT,Country & Economic Reports,Policy Center for the New South - All sources (SFPCNS),Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20201130
PCNSBF,French,article,Policy Center for the New South - Policy Briefs,Policy Center for the New South - Policy Briefs,Policy Center for the New South - Policy Briefs (French Language),Active,,Full Text,Full Coverage,20191211,20181201,Briefs published by the Moroccan Think Tank Policy Center for the New South on African countries’ economy and development. Country of origin: Morocco,Briefs publiés par le Think Tank Policy Center for the New South sur l'économie et le développement des pays africains. Pays d'origine: Maroc,Irregular,As available,As available,,AFIIL1,https://www.policycenter.ma/publications/policy-briefs/2019,PCFTNS,Policy Center for the New South,,,,COREPT,Country & Economic Reports,Policy Center for the New South - All sources (SFPCNS),Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20201202
PCNSPAF,French,article,Policy Center for the New South - Policy Notes & Policy Papers,Policy Center for the New South - Policy notes & Policy Papers,Policy Center for the New South - Policy Notes & Policy Papers (French Language),Active,,Full Text,Full Coverage,20191210,20190101,"Notes and Papers published by the Moroccan Think Tank Policy Center for the New South on African countries’ politics, society, economy and defense. Country of origin: Morocco","Notes et études publiées par le Think Tank marocain Policy Center for the New South sur la politique, la société, l'économie et la défense des pays africains. Pays d'origine: Maroc",Irregular,As available,As available,,AFIIL1,https://www.policycenter.ma/publications/policy-notes-%26-policy-papers/2019,PCFTNS,Policy Center for the New South,,,,COREPT,Country & Economic Reports,Policy Center for the New South - All sources (SFPCNS),Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20201101
PRLIZ,English,article,Port Elizabeth Express,Port Elizabeth Express,Port Elizabeth Express (South Africa),Active,,Full Text,Full Coverage,20190420,20190307,Port Elizabeth Express is a national newspaper in English and Afrikaans that’s distributed free of charge in the Port Elizabeth metropolitan area every Wednesday. Country of origin: South Africa,Port Elizabeth Express is a national newspaper in English and Afrikaans that’s distributed free of charge in the Port Elizabeth metropolitan area every Wednesday. Country of origin: South Africa,Weekly,Same day as publication date,Wednesday,Source is government owned or controlled.,ALBWBA,https://www.news24.com/SouthAfrica/Local/PE-Express,PBTWFO,24.com,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
POSTSA,English,article,Post,Post,Post (South Africa),Active,,Full Text,Full Coverage,20061116,20061115,"The POST is published in Durban, South Africa and provides focused news including business, financial and regional interest stories to the Indian community in South Africa, especially in KZN and Gauteng. Country of origin: South Africa","The POST is published in Durban, South Africa and provides focused news including business, financial and regional interest stories to the Indian community in South Africa, especially in KZN and Gauteng. Country of origin: South Africa",Weekly,Start of local business day,Wednesday,Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/thepost,INONSA,Independent Online,37553.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201111
MEWZAM,English,article,The Post,The Post,The Post (Zambia),Discontinued,20170510.0,Full Text,Full Coverage,20161018,20161018,"National daily newspaper covering national and international news, politics, business, economics, lifestyle and sports. Country of origin: Zambia","National daily newspaper covering national and international news, politics, business, economics, lifestyle and sports. Country of origin: Zambia",Daily,Discontinued,Not available,This source has stopped updating.,FTELP,http://postzambia.com,PBPONE,Post Newspapers Ltd,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Southern Africa (SOUAFR); Zambia (ZAMBIA),20161102
HPREMT,English,article,The Premium Times,The Premium Times,The Premium Times (Nigeria),Active,,Full Text,Full Coverage,20160705,20160530,Premium Times is an online newspaper based in Abuja. Country of origin: Nigeria,Premium Times is an online newspaper based in Abuja. Country of origin: Nigeria,Monday-Saturday,Same day as publication date,Monday-Saturday,,HINDU1,http://www.premiumtimesng.com,PBPTNG,Premium Times Services Limited,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
LAPRET,French,article,La Presse de Tunisie,La Presse de Tunisie,La Presse de Tunisie (French Language),Active,,Full Text,Full Coverage,20161019,20160513,"National daily newspaper covering national and international news, economy, culture and sports.  Country of origin: Tunisia","Quotidien national portant sur l'actualité nationale et internationale, l'économie, la culture et le sport. Pays d'origine: Tunisie",Daily,As available,As available,Source is government owned or controlled.,ALBWBA,http://www.lapresse.tn,PBSNIPE,La SNIPE,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20210122
PRETNW,English,article,Pretoria News,Pretoria News,Pretoria News (South Africa),Active,,Full Text,Full Coverage,20061115,20061023,"Provides business, financial, and world news as well as local and regional coverage for Pretoria and its surrounding area. Country of origin: South Africa","Provides business, financial, and world news as well as local and regional coverage for Pretoria and its surrounding area. Country of origin: South Africa",Monday-Friday,Start of local business day,6 a.m. (GMT),Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/pretoria-news,INONSA,Independent Online,12478.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201207
PRNEW,English,article,Pretoria News Weekend,Pretoria News Weekend,Pretoria News Weekend (South Africa),Active,,Full Text,Full Coverage,20061115,20061028,"Pretoria News Weekend is focused on Pretoria and its surrounding area by providing business, financial and world news as well as local and regional coverage. Country of origin: South Africa","Pretoria News Weekend is focused on Pretoria and its surrounding area by providing business, financial and world news as well as local and regional coverage. Country of origin: South Africa",Weekly,Start of local business day,Saturday,Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/pretoria-news,INONSA,Independent Online,20110.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201128
PROGEG,French,article,Le Progres Egyptien,Le Progres Egyptien,Le Progres Egyptien (French Language),Discontinued,20131105.0,Full Text,Full Coverage,20100902,20100727,"Newspaper focusing on national and international news, business, politics, culture and sport. Country of origin: Egypt","Journal dont le contenu est axé sur les actualités nationales et internationales, les affaires, la politique, la culture et le sport. Pays d'origine: Égypte",Daily,Discontinued,Not available,This source ceased publication,ALBWBA,http://leprogresegyptien.root-technologies.org/index.html,PRGSE,Le Progres Egyptien,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20130822
PUBLY,English,article,Public Eye,Public Eye,Public Eye (Lesotho),Active,,Full Text,Full Coverage,20161018,20161018,"Daily online newspaper covering politics, entertainment and lifestyle news. Country of origin: Lesotho","Daily online newspaper covering politics, entertainment and lifestyle news. Country of origin: Lesotho",Daily,As available,As available,,ALBWBA,http://publiceyenews.com,PBPEYO,PUBLIC EYE ONLINE,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Lesotho (LESOT); Southern Africa (SOUAFR),20210122
TPUNC,English,article,The Punch,The Punch,The Punch (Nigeria),Active,,Full Text,Full Coverage,20161019,20161018,"National daily newspaper covering national and international news and current affairs including politics, business, sports, opinion and health. Country of origin: Nigeria","National daily newspaper covering national and international news and current affairs including politics, business, sports, opinion and health. Country of origin: Nigeria",Daily,As available,As available,,ALBWBA,http://punchng.com,PBPNLI,Punch Nigeria Limited,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
RADSU,English,article,Randburg Sun,Randburg Sun,Randburg Sun (South Africa),Active,,Full Text,Full Coverage,20190420,20190323,The Randburg Sun is a free newspaper distributed to homes and businesses in the area. It serves an invested and community conscious public who are vocal about issues which affect them. Country of origin: South Africa,The Randburg Sun is a free newspaper distributed to homes and businesses in the area. It serves an invested and community conscious public who are vocal about issues which affect them. Country of origin: South Africa,Weekly,Same day as publication date,As available,,ALBWBA,https://randburgsun.co.za/,PBCAXT,Caxton Ltd,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
RELMA,French,article,La Releve.ma,La Releve.ma,La Releve.ma (French Language),Active,,Full Text,Full Coverage,20200424,20200310,"La Releve.ma is a French language news and information portal from Morocco covering local, regional and international news, politics, society, art and culture, plus opinion. Country of origin: Morocco","La Releve.ma est un portail d'information marocain en langue française couvrant l'actualité locale, régionale et internationale ainsi que la politique, la société, l'art, la culture et les débats d'opinion au Maroc. Pays d'origine: Maroc",Daily,Same day as publication date,"Daily, as available",,,http://lareleve.ma/,ALBWBA,SyndiGate Media Inc,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210122
ASRENO,French,article,Le Renouveau,Le Renouveau,"Le Renouveau (Burundi, French Language)",Active,,Full Text,Full Coverage,20150722,20150722,"Daily newspaper from Burundi that focuses on international, corporate, political, science, health, economic, environment, art and culture news. Country of origin: Burundi","Journal quotidien du Burundi portant sur l'actualité internationale, les entreprises, la politique, les sciences, la santé, l'économie, l'environnement, l'art et la culture. Pays d'origine: Burundi",Monday-Friday,1 day after publication date,3 p.m. (GMT),Source is government owned or controlled. |  2-25 Dec 2020 edition not available. |,ASINET2,http://lerenouveaubi.com/,LEREN,Le Renouveau,20000.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Burundi (BURUN); East Africa (EAFR),20210121
RENOUV,French,article,Le Renouveau,Le Renouveau,Le Renouveau (French Language),Discontinued,20100714.0,Full Text,Full Coverage,20081014,20081001,"Newspaper covering local and international news, business, culture and sport. Country of origin: Tunisia","Journal dont le contenu est axé sur les actualités locales et internationales, les affaires, la culture et les sports. Pays d''origine: Tunisie",Daily,Discontinued,Not available,This source ceased publication.,ALBWBA,http://www.lerenouveau.com.tn,LEREN,Le Renouveau,23000.0,PRSREF,Press Reference,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20100714
MEWREP,English,article,The Reporter,The Reporter,The Reporter (Ethiopia),Active,,Full Text,Full Coverage,20161030,20161029,"National daily newspaper covering general news and current affairs including business, politics, economics, society, sports and culture. Country of origin: Ethiopia","National daily newspaper covering general news and current affairs including business, politics, economics, society, sports and culture. Country of origin: Ethiopia",Daily,As available,As available,,FTELP,http://thereporterethiopia.com,PBMCC,Media & Communications Centre,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); East Africa (EAFR); Ethiopia (ETHPA),20210122
HTRWAF,English,article,The Rwanda Focus,The Rwanda Focus,The Rwanda Focus,Discontinued,20170123.0,Full Text,Full Coverage,20160113,20160108,"National newspaper from Rwanda, Africa. Country of origin: Rwanda","National newspaper from Rwanda, Africa. Country of origin: Rwanda",Daily,Discontinued,Not available,This source ceased publication.,HINDU1,http://www.focus.rw/,PBFOCU,Focus Media Ltd.,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Rwanda (RWANDA),20161110
RWANGEN,French,article,Rwanda News Agency (Agence Rwandaise d'Information),Rwanda News Agency (Agence Rwandaise d'Information),Rwanda News Agency (Agence Rwandaise d'Information) (French Language),Active,,Full Text,Full Coverage,20131023,20130909,The Rwanda News Agency is a newswire based in Kigali. Country of origin: Rwanda,Rwanda News Agency est un flux d’agence de presse basé à  Kigali. Pays d’Origine: Rwanda,Daily,Continuously updated,As available,,ALBWBA,http://www.rnanews.com,RWANNA,Rwanda News Agency (Agence Rwandaise d'Information),,,,NWSWR,Wires: Newswires,,Africa (AFRICA); East Africa (EAFR); Rwanda (RWANDA),20210122
LSAHEL,French,article,Le Sahel,Le Sahel,"Le Sahel (Niger, French Language)",Active,,Full Text,Full Coverage,20161019,20161019,"National weekly newspaper covering national and international news, economics, politics, business and sports. Country of origin: Niger","Journal hebdomadaire national portant sur l'actualité nationale et internationale, l'économie, la politique, les affaires et le sport. Pays d'origine: Niger",Weekly,As available,Sunday,Source is government owned or controlled.,ALBWBA,http://lesahel.org,PBDIMA,Le Sahel Dimanche,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Niger (NIGER); West Africa (WAFR),20210121
SAPA,English,article,SAPA (South African Press Association),SAPA (South African Press Association),SAPA (South African Press Association),Discontinued,20160404.0,Full Text,Full Coverage,20010731,19990530,"Independent national news agency providing full international, national, business and sports news. Country of origin: South Africa","Independent national news agency providing full international, national, business and sports news. Country of origin: South Africa",Daily,Discontinued,Not available,This source ceased publication.,SAPA,http://www.sapa.org.za/,SAPA,The South African Press Association,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20150331
SATST,English,article,Saturday Star,Saturday Star,Saturday Star (South Africa),Active,,Full Text,Full Coverage,20061115,20061028,"The Star is a weekly South African newspaper that provides business, financial and world news, entertainment and sports for a diverse cultural nation. Country of origin: South Africa","The Star is a weekly South African newspaper that provides business, financial and world news, entertainment and sports for a diverse cultural nation. Country of origin: South Africa",Weekly,Start of local business day,Saturday,Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://www.iol.co.za/saturday-star,INONSA,Independent Online,39386.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201114
SAVNEW,French,article,Savoir News,Savoir News,"Savoir News (Togo, French Language)",Active,,Full Text,Full Coverage,20130605,20130510,"Private and independent news agency based in Togo, Savoir News covers political, social, business and sport national events. Country of origin: Togo","Agence de presse privée et autonome au Togo, Savoir News couvre l'actualité générale, politique, économique et sportive nationale. Pays d'origine: Togo",Daily,Same day as publication date,As available,,SVRNW1,http://www.savoirnews.net,SVRNW,Savoir News,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Togo (TOGO); West Africa (WAFR),20210122
SAWBLA,Arabic,article,Sawt Al Balad,Sawt Al Balad,"Sawt Al Balad (Egypt, Arabic Language)",Active,,Full Text,Full Coverage,20150408,20150407,"Daily Arabic language newspaper covering national and international news, politics, business, culture, sports, entertainment, and lifestyle news. Country of origin: Egypt","Daily Arabic language newspaper covering national and international news, politics, business, culture, sports, entertainment, and lifestyle news. Country of origin: Egypt",Daily,Same day as publication date,As available,,ALBWBA,http://baladnews.com,PBARPA,Arab Press Agency (APA),,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210121
SCAFR,English,article,ScienceAfrica,ScienceAfrica,ScienceAfrica,Active,,Full Text,Full Coverage,20140115,20140115,"ScienceAfrica focuses on various aspects of research, policy, science, technology, innovation and socio-economic development. Country of origin: Kenya","ScienceAfrica focuses on various aspects of research, policy, science, technology, innovation and socio-economic development. Country of origin: Kenya",Irregular,Same day as publication date,As available,,ALBWBA,http://www.scienceafrica.com,SCAFR,ScienceAfrica,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20210122
ASMNA,Portuguese,article,A Semana,A Semana,"A Semana (Cape Verde, Portuguese Language)",Active,,Full Text,Full Coverage,20160218,20160218,National weekly newspaper covering general and local news. Country of origin: Cape Verde,Semanário nacional cobrindo notícias gerais e locais. País de origem: Cabo Verde,Weekly,As available,As available,,ALBWBA,https://www.asemana.publ.cv/,PBNOVAE,"Nova Editora, SARL",,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Cape Verde (CVI); West Africa (WAFR),20210122
SECLEN,English,article,Seychelles Nation,Seychelles Nation,Seychelles Nation,Active,,Full Text,Full Coverage,20161018,20161018,"National daily newspaper covering national, regional, sports and international news, as well as reports on all government related issues. Country of origin: Seychelles","National daily newspaper covering national, regional, sports and international news, as well as reports on all government related issues. Country of origin: Seychelles",Daily,As available,As available,Source is government owned or controlled.,ALBWBA,http://nation.sc,PUBNISA,Nation Publishing Services,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); East Africa (EAFR); Seychelles (SEYCH),20210122
SDWAY,French,article,Sidwaya,Sidwaya,"Sidwaya (Burkina Faso, French Language)",Active,,Full Text,Full Coverage,20161018,20161017,"National daily newspaper covering national and international news and current affairs including politics, economy, society, culture and sports. Country of origin: Burkina Faso","Quotidien national portant sur l'actualité nationale et internationale, la politique, l'économie, la société, la culture et le sport. Pays d'origine: Burkina Faso",Daily,As available,As available,Source is government owned or controlled.,ALBWBA,http://www.sidwaya.bf,PBWAYA,Sidwaya,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Burkina Faso (UPVOLA); West Africa (WAFR),20210122
SREXP,English,article,Sierra Express Media,Sierra Express Media,Sierra Express Media (Sierra Leone),Active,,Full Text,Full Coverage,20190420,20190306,"Sierra Express Media covers news, current events, entertainment, and sport, etc. In 2007, it was decided to publish Sierra Express Media newspaper in Freetown, in conjunction with the website, for the citizens of the country of Sierra Leone who do not have access to the Internet. County of origin: Sierra Leone","Sierra Express Media covers news, current events, entertainment, and sport, etc. In 2007, it was decided to publish Sierra Express Media newspaper in Freetown, in conjunction with the website, for the citizens of the country of Sierra Leone who do not have access to the Internet. County of origin: Sierra Leone",Weekly,Same day as publication date,As available,,ALBWBA,http://sierraexpressmedia.com/,PBSIEM,SIERRA EXPRESS MEDIA,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Sierra Leone (SILEN); West Africa (WAFR),20210111
LSOLEL,French,article,Le Soleil,Le Soleil,"Soleil (Senegal, French Language)",Active,,Full Text,Full Coverage,20150411,20150409,"Daily newspaper focusing on local and international news, business, politics, and sports. Country of origin: Senegal","Journal quotidien portant sur l'actualité internationale, le sport, le monde des affaires et la politique. Pays d'origine: Sénégal",Daily,As available,As available,,ALBWBA,http://www.lesoleil.sn,PBLESO,SSPP LE SOLEIL,30000.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20210122
ASSNNA,English,article,Somali National News Agency (SONNA),Somali National News Agency (SONNA),Somali National News Agency (SONNA),Active,,Full Text,Full Coverage,20180517,20180321,A full-service news agency  providing news and business information from Somalia. Country of origin: Somalia,A full-service news agency  providing news and business information from Somalia. Country of origin: Somalia,Weekly,Same day as publication date,Wednesday,,ASINET2,http://sonna.so/en,PBSOMAL,Somali National News Agency,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); East Africa (EAFR); Somalia (SOMAL),20210120
SFOFNE,English,article,South African Official News,South African Official News,South African Official News,Active,,Full Text,Full Coverage,20191213,20191211,"South African Official News focuses on official announcements by the South African government. It provides information on government structures and functions, such as the national legislature, executive authority, justice system, traditional leadership, provincial government, local government, public administration, security services and finance. Country of origin: South Africa","South African Official News focuses on official announcements by the South African government. It provides information on government structures and functions, such as the national legislature, executive authority, justice system, traditional leadership, provincial government, local government, public administration, security services and finance. Country of origin: South Africa","Daily source, irregular weekend edition",Same day as publication date,As available,,ASINET2,http://www.sanews.gov.za,PBGCIS,Government Communication and Information System(GCIS),,,,GOVWEB,Web Sites: Government,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
STHNES,English,article,South Sudan News Agency (SSNA),South Sudan News Agency (SSNA),South Sudan News Agency (SSNA),Discontinued,20160825.0,Full Text,Full Coverage,20150413,20150318,"Launched in 2010, this news agency covers topics of interest to South Sudan, including news, politics, editorials, and current events. Country of origin: Sudan","Launched in 2010, this news agency covers topics of interest to South Sudan, including news, politics, editorials, and current events. Country of origin: Sudan",Daily,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.southsudannewsagency.com/,PBSSNA,South Sudan News Agency (SSNA),,,,NWSWR,Wires: Newswires,,Africa (AFRICA); East Africa (EAFR); Sudan (SUDAN),20160616
SOTHYE,English,article,Southern Eye,Southern Eye,Southern Eye (Zimbabwe),Discontinued,20201103.0,Full Text,Full Coverage,20150409,20150408,"Daily newspaper covering local, business, sports and entertainment news. Country of origin: Zimbabwe","Daily newspaper covering local, business, sports and entertainment news. Country of origin: Zimbabwe",Daily,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://southerneye.co.zw,PBAMHPL,Alpha Media Holdings Pvt. Ltd.,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Southern Africa (SOUAFR); Zimbabwe (ZIMBAB),20200628
SOWT,English,article,Sowetan,Sowetan,Sowetan (South Africa),Active,,Full Text,Full Coverage,20081119,20081119,"Sowetan is one of South Africa's daily newspapers, with a strong history of nation-building. It has become interwoven in South African communities through various community projects. Country of origin: South Africa","Sowetan is one of South Africa's daily newspapers, with a strong history of nation-building. It has become interwoven in South African communities through various community projects. Country of origin: South Africa",Monday-Friday,Start of local business day,5 p.m. (GMT),Does not include tables.,AVUML,http://www.sowetan.co.za,AVUML,Times Media (Pty) Ltd,70737.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
TSTARZ,English,article,The Standard,The Standard,"The Standard (Harare, Zimbabwe)",Active,,Full Text,Full Coverage,20150510,20150510,"The Standard is a weekly tabloid style newspaper, published every Sunday, focusing on local news in Harare, Zimbabwe. Country of origin: South Africa","The Standard is a weekly tabloid style newspaper, published every Sunday, focusing on local news in Harare, Zimbabwe. Country of origin: South Africa",Weekly,Same day as publication date,Sunday,Includes tables,ALBWBA,http://www.thestandard.co.zw,PBAMHPL,Alpha Media Holdings Pvt. Ltd.,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Southern Africa (SOUAFR); Zimbabwe (ZIMBAB),20210117
STNKEN,English,article,The Standard,The Standard,The Standard (Kenya),Active,,Full Text,Full Coverage,20190420,20190310,"The Standard covers national and international news and current affairs including business, politics, economics, sports and entertainment. Country of origin: Kenya","The Standard covers national and international news and current affairs including business, politics, economics, sports and entertainment. Country of origin: Kenya",Daily,Same day as publication date,As available,,ALBWBA,https://www.standardmedia.co.ke/,PBSTGL,The Standard Group Limited,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20210122
STARKY,English,article,The Star (Kenya),The Star (Kenya),The Star (Kenya),Active,,Full Text,Full Coverage,20141203,20141101,"Daily newspaper in Kenya covering politics, sports, trade and entertainment. Country of origin: Kenya","Daily newspaper in Kenya covering politics, sports, trade and entertainment. Country of origin: Kenya",Daily,1 day after publication date,Monday-Saturday,,ASINET2,http://www.the-star.co.ke,RADAF,Radio Africa Group,72375.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20210122
THESTR,English,article,The Star,The Star,The Star (South Africa),Active,,Full Text,Full Coverage,20061115,20061023,"The Star is a daily South African newspaper that provides business, financial and world news, entertainment and sports for a diverse cultural nation. Country of origin: South Africa","The Star is a daily South African newspaper that provides business, financial and world news, entertainment and sports for a diverse cultural nation. Country of origin: South Africa",Monday-Friday,Start of local business day,"6 a.m. (GMT), Monday-Friday",Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/the-star,INONSA,Independent Online,72010.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201209
